group,model,NDCG@10,HR@10
5-10,Popularity,0.15529029481482917,0.2945
5-10,ItemKNN,0.2828458023593831,0.4835
5-10,BPR-MF,0.26232229010085906,0.437
5-10,NeuMF,0.22904290250265194,0.3695
5-10,LightGCN,0.24823583660395243,0.4235
5-10,Multi-VAE,0.2793766716000575,0.4345
5-10,SASRec,0.09133686033349346,0.187
11-20,Popularity,0.14158996399213794,0.295
11-20,ItemKNN,0.3206324231713487,0.5165
11-20,BPR-MF,0.28369589112433735,0.5025
11-20,NeuMF,0.26418525877461535,0.44
11-20,LightGCN,0.2795205615260691,0.5035
11-20,Multi-VAE,0.30276043511572226,0.4935
11-20,SASRec,0.0926444412313364,0.2
21-50,Popularity,0.12577463991852264,0.27284105131414266
21-50,ItemKNN,0.37468435035150965,0.6132665832290363
21-50,BPR-MF,0.30930500887072515,0.5594493116395495
21-50,NeuMF,0.3172765579624001,0.5181476846057572
21-50,LightGCN,0.310749710132372,0.5857321652065082
21-50,Multi-VAE,0.3427715326367459,0.5569461827284106
21-50,SASRec,0.07915282098214033,0.1702127659574468
50+,Popularity,0.1275396147086722,0.3161764705882353
50+,ItemKNN,0.36940345700137905,0.5955882352941176
50+,BPR-MF,0.26663039712679093,0.5441176470588235
50+,NeuMF,0.2648305140406158,0.4485294117647059
50+,LightGCN,0.26284723498713136,0.5588235294117647
50+,Multi-VAE,0.30030851941142983,0.5147058823529411
50+,SASRec,0.08018445905159113,0.16176470588235295
